transaction_date,date_skey,year,month_number,day_in_month,day_of_week,day_name,quarter_const
2023-05-22,20230522,2023,5,22,2,Monday,3        
2023-05-23,20230523,2023,5,23,3,Tuesday,3        
2023-05-24,20230524,2023,5,24,4,Wednesday,3        
2023-05-25,20230525,2023,5,25,5,Thursday,3        
2023-05-26,20230526,2023,5,26,6,Friday,3        
2023-05-27,20230527,2023,5,27,7,Saturday,3        
2023-05-28,20230528,2023,5,28,1,Sunday,3        
2023-05-29,20230529,2023,5,29,2,Monday,3        
2023-05-30,20230530,2023,5,30,3,Tuesday,3        
2023-05-31,20230531,2023,5,31,4,Wednesday,3        
2023-06-01,20230601,2023,6,1,5,Thursday,3        
2023-06-02,20230602,2023,6,2,6,Friday,3        
2023-06-03,20230603,2023,6,3,7,Saturday,3        
2023-06-04,20230604,2023,6,4,1,Sunday,3        
2023-06-05,20230605,2023,6,5,2,Monday,3        
2023-06-06,20230606,2023,6,6,3,Tuesday,3        
2023-06-07,20230607,2023,6,7,4,Wednesday,3        
2023-06-08,20230608,2023,6,8,5,Thursday,3        
2023-06-09,20230609,2023,6,9,6,Friday,3        
2023-06-10,20230610,2023,6,10,7,Saturday,3        
2023-06-11,20230611,2023,6,11,1,Sunday,3        
2023-06-12,20230612,2023,6,12,2,Monday,3        
2023-06-13,20230613,2023,6,13,3,Tuesday,3        
2023-06-14,20230614,2023,6,14,4,Wednesday,3        
2023-06-15,20230615,2023,6,15,5,Thursday,3        
2023-06-16,20230616,2023,6,16,6,Friday,3        
2023-06-17,20230617,2023,6,17,7,Saturday,3        
2023-06-18,20230618,2023,6,18,1,Sunday,3        
2023-06-19,20230619,2023,6,19,2,Monday,3        
2023-06-20,20230620,2023,6,20,3,Tuesday,3        
2023-06-21,20230621,2023,6,21,4,Wednesday,3        
2023-06-22,20230622,2023,6,22,5,Thursday,3        
2023-06-23,20230623,2023,6,23,6,Friday,3        
2023-06-24,20230624,2023,6,24,7,Saturday,3        
2023-06-25,20230625,2023,6,25,1,Sunday,3        
2023-06-26,20230626,2023,6,26,2,Monday,3        
2023-06-27,20230627,2023,6,27,3,Tuesday,3        
2023-06-28,20230628,2023,6,28,4,Wednesday,3        
2023-06-29,20230629,2023,6,29,5,Thursday,3        
2023-06-30,20230630,2023,6,30,6,Friday,3        
